"date","total_count","lineage_count","total_count_rolling","lineage_count_rolling","proportion","proportion_ci_lower","proportion_ci_upper","lineage","location"
2021-04-22,1,1,2,0.5,0.25,0.000216908470030966,0.666821754401209,"Alpha","USA_US-IL_17001"
2021-04-23,2,1,2,0.666666666666667,0.333333333333333,0.0608302759200974,0.939169724079903,"Alpha","USA_US-IL_17001"
2021-04-25,1,1,1.75,0.75,0.428571428571429,0.0608302759200974,0.939169724079903,"Alpha","USA_US-IL_17001"
2021-04-26,6,5,2.5,2,0.8,0.333178245598791,0.999783091529969,"Alpha","USA_US-IL_17001"
2021-04-27,1,1,2.2,1.8,0.818181818181818,0.333178245598791,0.999783091529969,"Alpha","USA_US-IL_17001"
2021-05-04,1,0,1,0,0,0.000385580980755902,0.853253683690425,"Alpha","USA_US-IL_17001"
2021-05-05,1,1,1,0.5,0.5,0.000385580980755902,0.853253683690425,"Alpha","USA_US-IL_17001"
2021-05-06,2,2,1.33333333333333,1,0.75,0.146746316309575,0.999614419019244,"Alpha","USA_US-IL_17001"
2021-05-10,8,7,3,2.5,0.833333333333333,0.176736097131257,0.961252382214835,"Alpha","USA_US-IL_17001"
2021-05-11,1,1,3,2.75,0.916666666666667,0.46441675695705,0.999849363974563,"Alpha","USA_US-IL_17001"
2021-05-12,1,0,3,2.5,0.833333333333333,0.176736097131257,0.961252382214835,"Alpha","USA_US-IL_17001"
2021-05-13,1,1,2.75,2.25,0.818181818181818,0.176736097131257,0.961252382214835,"Alpha","USA_US-IL_17001"
2021-05-17,3,2,1.5,1,0.666666666666667,0.0608302759200974,0.939169724079903,"Alpha","USA_US-IL_17001"
2021-05-18,3,2,2,1.25,0.625,0.0608302759200974,0.939169724079903,"Alpha","USA_US-IL_17001"
2021-05-26,1,0,1,0,0,0.000385580980755902,0.853253683690425,"Alpha","USA_US-IL_17001"
2021-05-27,1,1,1,0.5,0.5,0.000385580980755902,0.853253683690425,"Alpha","USA_US-IL_17001"
2021-06-03,1,1,1,1,1,0.146746316309575,0.999614419019244,"Alpha","USA_US-IL_17001"
2021-06-04,1,0,1,0.5,0.5,0.000385580980755902,0.853253683690425,"Alpha","USA_US-IL_17001"
2021-06-08,1,1,1,0.666666666666667,0.666666666666667,0.146746316309575,0.999614419019244,"Alpha","USA_US-IL_17001"
2021-06-15,1,1,1,1,1,0.146746316309575,0.999614419019244,"Alpha","USA_US-IL_17001"
2021-06-19,2,0,1.5,0.5,0.333333333333333,0.000216908470030966,0.666821754401209,"Alpha","USA_US-IL_17001"
2021-06-20,4,1,2.33333333333333,0.666666666666667,0.285714285714286,0.0608302759200974,0.939169724079903,"Alpha","USA_US-IL_17001"
2021-06-21,4,2,2.75,1,0.363636363636364,0.0387476177851652,0.823263902868743,"Alpha","USA_US-IL_17001"
2021-06-22,2,0,3,0.75,0.25,0.0387476177851652,0.823263902868743,"Alpha","USA_US-IL_17001"
2021-06-23,1,1,2.6,0.8,0.307692307692308,0.0387476177851652,0.823263902868743,"Alpha","USA_US-IL_17001"
2021-06-25,1,0,2.33333333333333,0.666666666666667,0.285714285714286,0.0608302759200974,0.939169724079903,"Alpha","USA_US-IL_17001"
2021-06-28,1,0,1.25,0.25,0.2,0.000385580980755902,0.853253683690425,"Alpha","USA_US-IL_17001"
2021-06-29,2,0,1.25,0.25,0.2,0.000385580980755902,0.853253683690425,"Alpha","USA_US-IL_17001"
2021-06-30,2,0,1.5,0,0,0.000216908470030966,0.666821754401209,"Alpha","USA_US-IL_17001"
2021-07-01,5,0,2.2,0,0,0.000216908470030966,0.666821754401209,"Alpha","USA_US-IL_17001"
2021-07-02,2,0,2.4,0,0,0.000216908470030966,0.666821754401209,"Alpha","USA_US-IL_17001"
2021-07-03,1,0,2.16666666666667,0,0,0.000216908470030966,0.666821754401209,"Alpha","USA_US-IL_17001"
2021-07-04,1,0,2,0,0,0.000216908470030966,0.666821754401209,"Alpha","USA_US-IL_17001"
2021-07-05,1,0,2,0,0,0.000216908470030966,0.666821754401209,"Alpha","USA_US-IL_17001"
2021-07-06,2,0,2,0,0,0.000216908470030966,0.666821754401209,"Alpha","USA_US-IL_17001"
2021-07-08,1,0,1.33333333333333,0,0,0.000385580980755902,0.853253683690425,"Alpha","USA_US-IL_17001"
2021-07-09,5,0,1.83333333333333,0,0,0.000216908470030966,0.666821754401209,"Alpha","USA_US-IL_17001"
2021-07-11,4,0,2.6,0,0,0.000150636025436569,0.53558324304295,"Alpha","USA_US-IL_17001"
2021-07-12,7,1,3.8,0.2,0.0526315789473684,0.000115332788238275,0.44476261765764,"Alpha","USA_US-IL_17001"
2021-07-13,10,0,5.4,0.2,0.037037037037037,9.34206000395449e-05,0.379377142299039,"Alpha","USA_US-IL_17001"
2021-07-14,2,0,4.83333333333333,0.166666666666667,0.0344827586206897,9.34206000395449e-05,0.379377142299039,"Alpha","USA_US-IL_17001"
2021-07-15,9,0,6.16666666666667,0.166666666666667,0.027027027027027,7.84998483662082e-05,0.33038890915155,"Alpha","USA_US-IL_17001"
2021-07-16,4,0,6,0.166666666666667,0.0277777777777778,7.84998483662082e-05,0.33038890915155,"Alpha","USA_US-IL_17001"
2021-07-17,2,0,5.42857142857143,0.142857142857143,0.0263157894736842,9.34206000395449e-05,0.379377142299039,"Alpha","USA_US-IL_17001"
2021-07-18,7,0,5.85714285714286,0.142857142857143,0.024390243902439,7.84998483662082e-05,0.33038890915155,"Alpha","USA_US-IL_17001"
2021-07-19,9,0,6.14285714285714,0,0,7.84998483662082e-05,0.33038890915155,"Alpha","USA_US-IL_17001"
2021-07-20,5,0,5.42857142857143,0,0,9.34206000395449e-05,0.379377142299039,"Alpha","USA_US-IL_17001"
2021-07-21,11,0,6.71428571428571,0,0,6.76864642438304e-05,0.29243617366231,"Alpha","USA_US-IL_17001"
2021-07-22,13,0,7.28571428571429,0,0,6.76864642438304e-05,0.29243617366231,"Alpha","USA_US-IL_17001"
2021-07-23,9,0,8,0,0,5.94903028944023e-05,0.262217248717186,"Alpha","USA_US-IL_17001"
2021-07-24,4,0,8.28571428571429,0,0,5.94903028944023e-05,0.262217248717186,"Alpha","USA_US-IL_17001"
2021-07-25,5,0,8,0,0,5.94903028944023e-05,0.262217248717186,"Alpha","USA_US-IL_17001"
2021-07-26,13,0,8.57142857142857,0,0,5.3064053418493e-05,0.237610098632903,"Alpha","USA_US-IL_17001"
2021-07-27,40,2,13.5714285714286,0.285714285714286,0.0210526315789474,3.44526718020059e-05,0.161553304514194,"Alpha","USA_US-IL_17001"
2021-07-28,9,1,13.2857142857143,0.428571428571429,0.032258064516129,3.70519332987658e-05,0.172619445282057,"Alpha","USA_US-IL_17001"
2021-07-29,2,0,11.7142857142857,0.428571428571429,0.0365853658536585,4.00753100765989e-05,0.185305938312485,"Alpha","USA_US-IL_17001"
2021-07-30,4,0,11,0.428571428571429,0.038961038961039,4.36357981421897e-05,0.199994569026208,"Alpha","USA_US-IL_17001"
2021-07-31,3,0,10.8571428571429,0.428571428571429,0.0394736842105263,4.36357981421897e-05,0.199994569026208,"Alpha","USA_US-IL_17001"
2021-08-01,3,0,10.5714285714286,0.428571428571429,0.0405405405405405,4.36357981421897e-05,0.199994569026208,"Alpha","USA_US-IL_17001"
2021-08-02,2,0,9,0.428571428571429,0.0476190476190476,5.3064053418493e-05,0.237610098632903,"Alpha","USA_US-IL_17001"
2021-08-03,12,0,5,0.142857142857143,0.0285714285714286,9.34206000395449e-05,0.379377142299039,"Alpha","USA_US-IL_17001"
2021-08-04,6,0,4.57142857142857,0,0,9.34206000395449e-05,0.379377142299039,"Alpha","USA_US-IL_17001"
2021-08-05,6,0,5.14285714285714,0,0,9.34206000395449e-05,0.379377142299039,"Alpha","USA_US-IL_17001"
2021-08-06,6,0,5.42857142857143,0,0,9.34206000395449e-05,0.379377142299039,"Alpha","USA_US-IL_17001"
2021-08-07,7,0,6,0,0,7.84998483662082e-05,0.33038890915155,"Alpha","USA_US-IL_17001"
2021-08-08,4,0,6.14285714285714,0,0,7.84998483662082e-05,0.33038890915155,"Alpha","USA_US-IL_17001"
2021-08-09,15,0,8,0,0,5.94903028944023e-05,0.262217248717186,"Alpha","USA_US-IL_17001"
2021-08-10,6,0,7.14285714285714,0,0,6.76864642438304e-05,0.29243617366231,"Alpha","USA_US-IL_17001"
2021-08-11,2,0,6.57142857142857,0,0,6.76864642438304e-05,0.29243617366231,"Alpha","USA_US-IL_17001"
2021-08-12,7,0,6.71428571428571,0,0,6.76864642438304e-05,0.29243617366231,"Alpha","USA_US-IL_17001"
2021-08-13,12,0,7.57142857142857,0,0,5.94903028944023e-05,0.262217248717186,"Alpha","USA_US-IL_17001"
2021-08-14,6,0,7.42857142857143,0,0,6.76864642438304e-05,0.29243617366231,"Alpha","USA_US-IL_17001"
2021-08-15,2,0,7.14285714285714,0,0,6.76864642438304e-05,0.29243617366231,"Alpha","USA_US-IL_17001"
2021-08-16,7,0,6,0,0,7.84998483662082e-05,0.33038890915155,"Alpha","USA_US-IL_17001"
2021-08-17,6,0,6,0,0,7.84998483662082e-05,0.33038890915155,"Alpha","USA_US-IL_17001"
2021-08-18,2,0,6,0,0,7.84998483662082e-05,0.33038890915155,"Alpha","USA_US-IL_17001"
2021-08-19,2,0,5.28571428571429,0,0,9.34206000395449e-05,0.379377142299039,"Alpha","USA_US-IL_17001"
2021-08-20,5,0,4.28571428571429,0,0,0.000115332788238275,0.44476261765764,"Alpha","USA_US-IL_17001"
2021-08-21,2,0,3.71428571428571,0,0,0.000115332788238275,0.44476261765764,"Alpha","USA_US-IL_17001"
2021-08-22,4,0,4,0,0,0.000115332788238275,0.44476261765764,"Alpha","USA_US-IL_17001"
2021-08-23,4,0,3.57142857142857,0,0,0.000115332788238275,0.44476261765764,"Alpha","USA_US-IL_17001"
2021-08-24,1,0,2.85714285714286,0,0,0.000150636025436569,0.53558324304295,"Alpha","USA_US-IL_17001"
2021-08-25,1,0,2.71428571428571,0,0,0.000150636025436569,0.53558324304295,"Alpha","USA_US-IL_17001"
2021-08-26,4,0,3,0,0,0.000150636025436569,0.53558324304295,"Alpha","USA_US-IL_17001"
2021-08-27,2,0,2.57142857142857,0,0,0.000150636025436569,0.53558324304295,"Alpha","USA_US-IL_17001"
2021-08-28,3,0,2.71428571428571,0,0,0.000150636025436569,0.53558324304295,"Alpha","USA_US-IL_17001"
2021-08-30,1,0,2,0,0,0.000216908470030966,0.666821754401209,"Alpha","USA_US-IL_17001"
2021-09-01,1,0,2.2,0,0,0.000216908470030966,0.666821754401209,"Alpha","USA_US-IL_17001"
2021-09-02,2,0,1.8,0,0,0.000216908470030966,0.666821754401209,"Alpha","USA_US-IL_17001"
2021-09-04,2,0,1.5,0,0,0.000216908470030966,0.666821754401209,"Alpha","USA_US-IL_17001"
2021-09-05,3,0,1.8,0,0,0.000216908470030966,0.666821754401209,"Alpha","USA_US-IL_17001"
2021-09-06,3,0,2.2,0,0,0.000216908470030966,0.666821754401209,"Alpha","USA_US-IL_17001"
2021-09-07,9,0,3.33333333333333,0,0,0.000150636025436569,0.53558324304295,"Alpha","USA_US-IL_17001"
2021-09-08,2,0,3.5,0,0,0.000115332788238275,0.44476261765764,"Alpha","USA_US-IL_17001"
2021-09-09,5,0,4,0,0,0.000115332788238275,0.44476261765764,"Alpha","USA_US-IL_17001"
2021-09-10,4,0,4,0,0,0.000115332788238275,0.44476261765764,"Alpha","USA_US-IL_17001"
2021-09-11,1,0,3.85714285714286,0,0,0.000115332788238275,0.44476261765764,"Alpha","USA_US-IL_17001"
2021-09-12,5,0,4.14285714285714,0,0,0.000115332788238275,0.44476261765764,"Alpha","USA_US-IL_17001"
2021-09-13,3,0,4.14285714285714,0,0,0.000115332788238275,0.44476261765764,"Alpha","USA_US-IL_17001"
2021-10-25,1,0,1,0,0,0.000385580980755902,0.853253683690425,"Alpha","USA_US-IL_17001"
2021-10-28,1,0,1,0,0,0.000385580980755902,0.853253683690425,"Alpha","USA_US-IL_17001"
2021-11-08,2,0,2,0,0,0.000216908470030966,0.666821754401209,"Alpha","USA_US-IL_17001"
2021-11-15,3,0,3,0,0,0.000150636025436569,0.53558324304295,"Alpha","USA_US-IL_17001"
2021-11-29,5,0,5,0,0,9.34206000395449e-05,0.379377142299039,"Alpha","USA_US-IL_17001"
2021-11-30,5,0,5,0,0,9.34206000395449e-05,0.379377142299039,"Alpha","USA_US-IL_17001"
2021-12-01,1,0,3.66666666666667,0,0,0.000115332788238275,0.44476261765764,"Alpha","USA_US-IL_17001"
2021-12-13,2,0,2,0,0,0.000216908470030966,0.666821754401209,"Alpha","USA_US-IL_17001"
2021-12-15,10,0,6,0,0,7.84998483662082e-05,0.33038890915155,"Alpha","USA_US-IL_17001"
2021-12-16,18,0,10,0,0,4.7890433157582e-05,0.217196267509211,"Alpha","USA_US-IL_17001"
2021-12-17,1,0,7.75,0,0,5.94903028944023e-05,0.262217248717186,"Alpha","USA_US-IL_17001"
2021-12-20,2,0,7.75,0,0,5.94903028944023e-05,0.262217248717186,"Alpha","USA_US-IL_17001"
2021-12-28,1,0,1,0,0,0.000385580980755902,0.853253683690425,"Alpha","USA_US-IL_17001"
2022-01-03,2,0,1.5,0,0,0.000216908470030966,0.666821754401209,"Alpha","USA_US-IL_17001"
2022-01-07,1,0,1.5,0,0,0.000216908470030966,0.666821754401209,"Alpha","USA_US-IL_17001"
2022-01-13,7,0,4,0,0,0.000115332788238275,0.44476261765764,"Alpha","USA_US-IL_17001"
2022-01-17,1,0,4,0,0,0.000115332788238275,0.44476261765764,"Alpha","USA_US-IL_17001"
2022-01-18,10,0,6,0,0,7.84998483662082e-05,0.33038890915155,"Alpha","USA_US-IL_17001"
2022-01-19,1,0,4.75,0,0,9.34206000395449e-05,0.379377142299039,"Alpha","USA_US-IL_17001"
2022-01-24,14,0,8.33333333333333,0,0,5.94903028944023e-05,0.262217248717186,"Alpha","USA_US-IL_17001"
2022-01-28,1,0,7.5,0,0,5.94903028944023e-05,0.262217248717186,"Alpha","USA_US-IL_17001"
2022-01-30,3,0,6,0,0,7.84998483662082e-05,0.33038890915155,"Alpha","USA_US-IL_17001"
2022-01-31,3,0,2.33333333333333,0,0,0.000216908470030966,0.666821754401209,"Alpha","USA_US-IL_17001"
2022-02-01,10,0,4.25,0,0,0.000115332788238275,0.44476261765764,"Alpha","USA_US-IL_17001"
2022-02-03,1,0,3.6,0,0,0.000115332788238275,0.44476261765764,"Alpha","USA_US-IL_17001"
2022-02-06,6,0,5,0,0,9.34206000395449e-05,0.379377142299039,"Alpha","USA_US-IL_17001"
2022-02-07,4,0,5.25,0,0,9.34206000395449e-05,0.379377142299039,"Alpha","USA_US-IL_17001"
2022-02-11,2,0,4,0,0,0.000115332788238275,0.44476261765764,"Alpha","USA_US-IL_17001"
2022-02-13,2,0,2.66666666666667,0,0,0.000150636025436569,0.53558324304295,"Alpha","USA_US-IL_17001"
2022-02-14,18,0,7.33333333333333,0,0,6.76864642438304e-05,0.29243617366231,"Alpha","USA_US-IL_17001"
2022-02-15,3,0,6.25,0,0,7.84998483662082e-05,0.33038890915155,"Alpha","USA_US-IL_17001"
2022-02-16,4,0,5.8,0,0,7.84998483662082e-05,0.33038890915155,"Alpha","USA_US-IL_17001"
2022-02-18,1,0,5.6,0,0,7.84998483662082e-05,0.33038890915155,"Alpha","USA_US-IL_17001"
2022-02-20,3,0,5.8,0,0,7.84998483662082e-05,0.33038890915155,"Alpha","USA_US-IL_17001"
2022-02-22,7,0,3.75,0,0,0.000115332788238275,0.44476261765764,"Alpha","USA_US-IL_17001"
2022-02-23,2,0,3.25,0,0,0.000150636025436569,0.53558324304295,"Alpha","USA_US-IL_17001"
2022-02-24,2,0,3,0,0,0.000150636025436569,0.53558324304295,"Alpha","USA_US-IL_17001"
2022-02-25,1,0,3,0,0,0.000150636025436569,0.53558324304295,"Alpha","USA_US-IL_17001"
2022-02-26,1,0,2.66666666666667,0,0,0.000150636025436569,0.53558324304295,"Alpha","USA_US-IL_17001"
2022-03-03,2,0,1.33333333333333,0,0,0.000385580980755902,0.853253683690425,"Alpha","USA_US-IL_17001"
2022-03-07,3,0,2.5,0,0,0.000216908470030966,0.666821754401209,"Alpha","USA_US-IL_17001"
2022-03-16,1,0,1,0,0,0.000385580980755902,0.853253683690425,"Alpha","USA_US-IL_17001"
2022-03-22,1,0,1,0,0,0.000385580980755902,0.853253683690425,"Alpha","USA_US-IL_17001"
2022-03-24,1,0,1,0,0,0.000385580980755902,0.853253683690425,"Alpha","USA_US-IL_17001"
2022-03-29,1,0,1,0,0,0.000385580980755902,0.853253683690425,"Alpha","USA_US-IL_17001"
2022-04-05,1,0,1,0,0,0.000385580980755902,0.853253683690425,"Alpha","USA_US-IL_17001"
2022-04-06,1,0,1,0,0,0.000385580980755902,0.853253683690425,"Alpha","USA_US-IL_17001"
2022-04-08,1,0,1,0,0,0.000385580980755902,0.853253683690425,"Alpha","USA_US-IL_17001"
2022-04-10,1,0,1,0,0,0.000385580980755902,0.853253683690425,"Alpha","USA_US-IL_17001"
2022-04-12,1,0,1,0,0,0.000385580980755902,0.853253683690425,"Alpha","USA_US-IL_17001"
2022-04-13,1,0,1,0,0,0.000385580980755902,0.853253683690425,"Alpha","USA_US-IL_17001"
2022-04-17,1,0,1,0,0,0.000385580980755902,0.853253683690425,"Alpha","USA_US-IL_17001"
2022-04-18,1,0,1,0,0,0.000385580980755902,0.853253683690425,"Alpha","USA_US-IL_17001"
2022-04-25,2,0,2,0,0,0.000216908470030966,0.666821754401209,"Alpha","USA_US-IL_17001"
2022-05-02,1,0,1,0,0,0.000385580980755902,0.853253683690425,"Alpha","USA_US-IL_17001"
2022-05-12,2,0,2,0,0,0.000216908470030966,0.666821754401209,"Alpha","USA_US-IL_17001"
2022-05-16,1,0,1.5,0,0,0.000216908470030966,0.666821754401209,"Alpha","USA_US-IL_17001"
2022-05-23,1,0,1,0,0,0.000385580980755902,0.853253683690425,"Alpha","USA_US-IL_17001"
2022-06-13,2,0,2,0,0,0.000216908470030966,0.666821754401209,"Alpha","USA_US-IL_17001"
2022-06-14,1,0,1.5,0,0,0.000216908470030966,0.666821754401209,"Alpha","USA_US-IL_17001"
2022-06-21,3,0,3,0,0,0.000150636025436569,0.53558324304295,"Alpha","USA_US-IL_17001"
2022-06-24,1,0,2,0,0,0.000216908470030966,0.666821754401209,"Alpha","USA_US-IL_17001"
2022-06-27,1,0,1.66666666666667,0,0,0.000216908470030966,0.666821754401209,"Alpha","USA_US-IL_17001"
2022-07-05,7,0,7,0,0,6.76864642438304e-05,0.29243617366231,"Alpha","USA_US-IL_17001"
2022-07-06,3,0,5,0,0,9.34206000395449e-05,0.379377142299039,"Alpha","USA_US-IL_17001"
2022-07-11,11,0,7,0,0,6.76864642438304e-05,0.29243617366231,"Alpha","USA_US-IL_17001"
2022-07-12,1,0,5,0,0,9.34206000395449e-05,0.379377142299039,"Alpha","USA_US-IL_17001"
2022-07-18,3,0,2,0,0,0.000216908470030966,0.666821754401209,"Alpha","USA_US-IL_17001"
2022-07-20,1,0,2,0,0,0.000216908470030966,0.666821754401209,"Alpha","USA_US-IL_17001"
2022-07-21,3,0,2.33333333333333,0,0,0.000216908470030966,0.666821754401209,"Alpha","USA_US-IL_17001"
2022-07-25,4,0,2.66666666666667,0,0,0.000150636025436569,0.53558324304295,"Alpha","USA_US-IL_17001"
2022-07-26,2,0,2.5,0,0,0.000216908470030966,0.666821754401209,"Alpha","USA_US-IL_17001"
2022-07-28,1,0,2.33333333333333,0,0,0.000216908470030966,0.666821754401209,"Alpha","USA_US-IL_17001"
2022-08-01,1,0,1.33333333333333,0,0,0.000385580980755902,0.853253683690425,"Alpha","USA_US-IL_17001"
2022-08-08,3,0,3,0,0,0.000150636025436569,0.53558324304295,"Alpha","USA_US-IL_17001"
2022-08-15,2,0,2,0,0,0.000216908470030966,0.666821754401209,"Alpha","USA_US-IL_17001"
2022-08-22,2,0,2,0,0,0.000216908470030966,0.666821754401209,"Alpha","USA_US-IL_17001"
2022-08-29,3,0,3,0,0,0.000150636025436569,0.53558324304295,"Alpha","USA_US-IL_17001"
2022-08-30,1,0,2,0,0,0.000216908470030966,0.666821754401209,"Alpha","USA_US-IL_17001"
2022-09-06,2,0,2,0,0,0.000216908470030966,0.666821754401209,"Alpha","USA_US-IL_17001"
2022-10-03,1,0,1,0,0,0.000385580980755902,0.853253683690425,"Alpha","USA_US-IL_17001"
2022-11-13,1,0,1,0,0,0.000385580980755902,0.853253683690425,"Alpha","USA_US-IL_17001"
2022-11-21,2,0,2,0,0,0.000216908470030966,0.666821754401209,"Alpha","USA_US-IL_17001"
2022-11-28,2,0,2,0,0,0.000216908470030966,0.666821754401209,"Alpha","USA_US-IL_17001"
2022-12-01,1,0,1.5,0,0,0.000216908470030966,0.666821754401209,"Alpha","USA_US-IL_17001"
2022-12-05,2,0,1.5,0,0,0.000216908470030966,0.666821754401209,"Alpha","USA_US-IL_17001"
2022-12-06,1,0,1.33333333333333,0,0,0.000385580980755902,0.853253683690425,"Alpha","USA_US-IL_17001"
2022-12-12,3,0,2,0,0,0.000216908470030966,0.666821754401209,"Alpha","USA_US-IL_17001"
2022-12-14,1,0,2,0,0,0.000216908470030966,0.666821754401209,"Alpha","USA_US-IL_17001"
2022-12-22,1,0,1,0,0,0.000385580980755902,0.853253683690425,"Alpha","USA_US-IL_17001"
2022-12-27,3,0,2,0,0,0.000216908470030966,0.666821754401209,"Alpha","USA_US-IL_17001"
2022-12-29,2,0,2.5,0,0,0.000216908470030966,0.666821754401209,"Alpha","USA_US-IL_17001"
2023-01-02,3,0,2.66666666666667,0,0,0.000150636025436569,0.53558324304295,"Alpha","USA_US-IL_17001"
2023-01-03,2,0,2.33333333333333,0,0,0.000216908470030966,0.666821754401209,"Alpha","USA_US-IL_17001"
2023-01-05,1,0,2,0,0,0.000216908470030966,0.666821754401209,"Alpha","USA_US-IL_17001"
2023-01-17,1,0,1,0,0,0.000385580980755902,0.853253683690425,"Alpha","USA_US-IL_17001"
2023-01-18,1,0,1,0,0,0.000385580980755902,0.853253683690425,"Alpha","USA_US-IL_17001"
2023-01-23,3,0,1.66666666666667,0,0,0.000216908470030966,0.666821754401209,"Alpha","USA_US-IL_17001"
2023-01-30,2,0,2,0,0,0.000216908470030966,0.666821754401209,"Alpha","USA_US-IL_17001"
2023-02-08,1,0,1,0,0,0.000385580980755902,0.853253683690425,"Alpha","USA_US-IL_17001"
2023-02-14,3,0,2,0,0,0.000216908470030966,0.666821754401209,"Alpha","USA_US-IL_17001"
2023-02-21,4,0,4,0,0,0.000115332788238275,0.44476261765764,"Alpha","USA_US-IL_17001"
2023-02-22,2,0,3,0,0,0.000150636025436569,0.53558324304295,"Alpha","USA_US-IL_17001"
2023-03-16,1,0,1,0,0,0.000385580980755902,0.853253683690425,"Alpha","USA_US-IL_17001"
2023-08-15,2,0,2,0,0,0.000216908470030966,0.666821754401209,"Alpha","USA_US-IL_17001"
2023-10-10,3,0,3,0,0,0.000150636025436569,0.53558324304295,"Alpha","USA_US-IL_17001"
2023-10-12,2,0,2.5,0,0,0.000216908470030966,0.666821754401209,"Alpha","USA_US-IL_17001"
2023-10-24,1,0,1,0,0,0.000385580980755902,0.853253683690425,"Alpha","USA_US-IL_17001"
2023-12-05,8,0,8,0,0,5.94903028944023e-05,0.262217248717186,"Alpha","USA_US-IL_17001"
2023-12-06,1,0,4.5,0,0,0.000115332788238275,0.44476261765764,"Alpha","USA_US-IL_17001"
2023-12-07,2,0,3.66666666666667,0,0,0.000115332788238275,0.44476261765764,"Alpha","USA_US-IL_17001"
2023-12-12,2,0,1.66666666666667,0,0,0.000216908470030966,0.666821754401209,"Alpha","USA_US-IL_17001"
2023-12-21,1,0,1,0,0,0.000385580980755902,0.853253683690425,"Alpha","USA_US-IL_17001"
2023-12-26,2,0,1.5,0,0,0.000216908470030966,0.666821754401209,"Alpha","USA_US-IL_17001"
2023-12-28,2,0,2,0,0,0.000216908470030966,0.666821754401209,"Alpha","USA_US-IL_17001"
2024-01-05,1,0,1,0,0,0.000385580980755902,0.853253683690425,"Alpha","USA_US-IL_17001"
2024-01-09,2,0,1.5,0,0,0.000216908470030966,0.666821754401209,"Alpha","USA_US-IL_17001"
2024-07-08,1,0,1,0,0,0.000385580980755902,0.853253683690425,"Alpha","USA_US-IL_17001"
2021-06-19,2,2,1.5,1,0.666666666666667,0.0608302759200974,0.939169724079903,"Delta","USA_US-IL_17001"
2021-06-20,4,3,2.33333333333333,1.66666666666667,0.714285714285714,0.333178245598791,0.999783091529969,"Delta","USA_US-IL_17001"
2021-06-21,4,2,2.75,1.75,0.636363636363636,0.176736097131257,0.961252382214835,"Delta","USA_US-IL_17001"
2021-06-22,2,2,3,2.25,0.75,0.176736097131257,0.961252382214835,"Delta","USA_US-IL_17001"
2021-06-23,1,0,2.6,1.8,0.692307692307692,0.176736097131257,0.961252382214835,"Delta","USA_US-IL_17001"
2021-06-25,1,1,2.33333333333333,1.66666666666667,0.714285714285714,0.333178245598791,0.999783091529969,"Delta","USA_US-IL_17001"
2021-06-28,1,1,1.25,1,0.8,0.146746316309575,0.999614419019244,"Delta","USA_US-IL_17001"
2021-06-29,2,2,1.25,1,0.8,0.146746316309575,0.999614419019244,"Delta","USA_US-IL_17001"
2021-06-30,2,2,1.5,1.5,1,0.333178245598791,0.999783091529969,"Delta","USA_US-IL_17001"
2021-07-01,5,5,2.2,2.2,1,0.333178245598791,0.999783091529969,"Delta","USA_US-IL_17001"
2021-07-02,2,2,2.4,2.4,1,0.333178245598791,0.999783091529969,"Delta","USA_US-IL_17001"
2021-07-03,1,1,2.16666666666667,2.16666666666667,1,0.333178245598791,0.999783091529969,"Delta","USA_US-IL_17001"
2021-07-04,1,1,2,2,1,0.333178245598791,0.999783091529969,"Delta","USA_US-IL_17001"
2021-07-05,1,1,2,2,1,0.333178245598791,0.999783091529969,"Delta","USA_US-IL_17001"
2021-07-06,2,2,2,2,1,0.333178245598791,0.999783091529969,"Delta","USA_US-IL_17001"
2021-07-08,1,1,1.33333333333333,1.33333333333333,1,0.146746316309575,0.999614419019244,"Delta","USA_US-IL_17001"
2021-07-09,5,5,1.83333333333333,1.83333333333333,1,0.333178245598791,0.999783091529969,"Delta","USA_US-IL_17001"
2021-07-11,4,4,2.6,2.6,1,0.46441675695705,0.999849363974563,"Delta","USA_US-IL_17001"
2021-07-12,7,6,3.8,3.6,0.947368421052632,0.55523738234236,0.999884667211762,"Delta","USA_US-IL_17001"
2021-07-13,10,10,5.4,5.2,0.962962962962963,0.620622857700961,0.99990657939996,"Delta","USA_US-IL_17001"
2021-07-14,2,2,4.83333333333333,4.66666666666667,0.96551724137931,0.620622857700961,0.99990657939996,"Delta","USA_US-IL_17001"
2021-07-15,9,9,6.16666666666667,6,0.972972972972973,0.66961109084845,0.999921500151634,"Delta","USA_US-IL_17001"
2021-07-16,4,4,6,5.83333333333333,0.972222222222222,0.66961109084845,0.999921500151634,"Delta","USA_US-IL_17001"
2021-07-17,2,2,5.42857142857143,5.28571428571429,0.973684210526316,0.620622857700961,0.99990657939996,"Delta","USA_US-IL_17001"
2021-07-18,7,7,5.85714285714286,5.71428571428571,0.975609756097561,0.66961109084845,0.999921500151634,"Delta","USA_US-IL_17001"
2021-07-19,9,9,6.14285714285714,6.14285714285714,1,0.66961109084845,0.999921500151634,"Delta","USA_US-IL_17001"
2021-07-20,5,5,5.42857142857143,5.42857142857143,1,0.620622857700961,0.99990657939996,"Delta","USA_US-IL_17001"
2021-07-21,11,11,6.71428571428571,6.71428571428571,1,0.70756382633769,0.999932313535756,"Delta","USA_US-IL_17001"
2021-07-22,13,13,7.28571428571429,7.28571428571429,1,0.70756382633769,0.999932313535756,"Delta","USA_US-IL_17001"
