id,date,confirmed,deaths,recovered,tests,vaccines,people_vaccinated,people_fully_vaccinated,hosp,icu,vent,school_closing,workplace_closing,cancel_events,gatherings_restrictions,transport_closing,stay_home_restrictions,internal_movement_restrictions,international_movement_restrictions,information_campaigns,testing_policy,contact_tracing,facial_coverings,vaccination_policy,elderly_people_protection,government_response_index,stringency_index,containment_health_index,economic_support_index,administrative_area_level,administrative_area_level_1,administrative_area_level_2,administrative_area_level_3,latitude,longitude,population,iso_alpha_3,iso_alpha_2,iso_numeric,iso_currency,key_local,key_google_mobility,key_apple_mobility,key_jhu_csse,key_nuts,key_gadm
0042529a,2020-01-22,0,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,Thailand,Yasothon,,15.8180151,104.275452488023,487976,THA,TH,764,THB,35,,"Yasothon Province",,,THA.77_1
0042529a,2020-01-23,0,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,Thailand,Yasothon,,15.8180151,104.275452488023,487976,THA,TH,764,THB,35,,"Yasothon Province",,,THA.77_1
0042529a,2020-01-24,0,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,Thailand,Yasothon,,15.8180151,104.275452488023,487976,THA,TH,764,THB,35,,"Yasothon Province",,,THA.77_1
0042529a,2020-01-25,0,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,Thailand,Yasothon,,15.8180151,104.275452488023,487976,THA,TH,764,THB,35,,"Yasothon Province",,,THA.77_1
0042529a,2020-01-26,0,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,Thailand,Yasothon,,15.8180151,104.275452488023,487976,THA,TH,764,THB,35,,"Yasothon Province",,,THA.77_1
0042529a,2020-01-27,0,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,Thailand,Yasothon,,15.8180151,104.275452488023,487976,THA,TH,764,THB,35,,"Yasothon Province",,,THA.77_1
0042529a,2020-01-28,0,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,Thailand,Yasothon,,15.8180151,104.275452488023,487976,THA,TH,764,THB,35,,"Yasothon Province",,,THA.77_1
0042529a,2020-01-29,0,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,Thailand,Yasothon,,15.8180151,104.275452488023,487976,THA,TH,764,THB,35,,"Yasothon Province",,,THA.77_1
0042529a,2020-01-30,0,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,Thailand,Yasothon,,15.8180151,104.275452488023,487976,THA,TH,764,THB,35,,"Yasothon Province",,,THA.77_1
0042529a,2020-01-31,0,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,Thailand,Yasothon,,15.8180151,104.275452488023,487976,THA,TH,764,THB,35,,"Yasothon Province",,,THA.77_1
0042529a,2020-02-01,0,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,Thailand,Yasothon,,15.8180151,104.275452488023,487976,THA,TH,764,THB,35,,"Yasothon Province",,,THA.77_1
0042529a,2020-02-02,0,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,Thailand,Yasothon,,15.8180151,104.275452488023,487976,THA,TH,764,THB,35,,"Yasothon Province",,,THA.77_1
0042529a,2020-02-03,0,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,Thailand,Yasothon,,15.8180151,104.275452488023,487976,THA,TH,764,THB,35,,"Yasothon Province",,,THA.77_1
0042529a,2020-02-04,0,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,Thailand,Yasothon,,15.8180151,104.275452488023,487976,THA,TH,764,THB,35,,"Yasothon Province",,,THA.77_1
0042529a,2020-02-05,0,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,Thailand,Yasothon,,15.8180151,104.275452488023,487976,THA,TH,764,THB,35,,"Yasothon Province",,,THA.77_1
0042529a,2020-02-06,0,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,Thailand,Yasothon,,15.8180151,104.275452488023,487976,THA,TH,764,THB,35,,"Yasothon Province",,,THA.77_1
0042529a,2020-02-07,0,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,Thailand,Yasothon,,15.8180151,104.275452488023,487976,THA,TH,764,THB,35,,"Yasothon Province",,,THA.77_1
0042529a,2020-02-08,0,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,Thailand,Yasothon,,15.8180151,104.275452488023,487976,THA,TH,764,THB,35,,"Yasothon Province",,,THA.77_1
0042529a,2020-02-09,0,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,Thailand,Yasothon,,15.8180151,104.275452488023,487976,THA,TH,764,THB,35,,"Yasothon Province",,,THA.77_1
0042529a,2020-02-10,0,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,Thailand,Yasothon,,15.8180151,104.275452488023,487976,THA,TH,764,THB,35,,"Yasothon Province",,,THA.77_1
0042529a,2020-02-11,0,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,Thailand,Yasothon,,15.8180151,104.275452488023,487976,THA,TH,764,THB,35,,"Yasothon Province",,,THA.77_1
0042529a,2020-02-12,0,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,Thailand,Yasothon,,15.8180151,104.275452488023,487976,THA,TH,764,THB,35,,"Yasothon Province",,,THA.77_1
0042529a,2020-02-13,0,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,Thailand,Yasothon,,15.8180151,104.275452488023,487976,THA,TH,764,THB,35,,"Yasothon Province",,,THA.77_1
0042529a,2020-02-14,0,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,Thailand,Yasothon,,15.8180151,104.275452488023,487976,THA,TH,764,THB,35,,"Yasothon Province",,,THA.77_1
0042529a,2020-02-15,0,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,Thailand,Yasothon,,15.8180151,104.275452488023,487976,THA,TH,764,THB,35,,"Yasothon Province",,,THA.77_1
0042529a,2020-02-16,0,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,Thailand,Yasothon,,15.8180151,104.275452488023,487976,THA,TH,764,THB,35,,"Yasothon Province",,,THA.77_1
0042529a,2020-02-17,0,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,Thailand,Yasothon,,15.8180151,104.275452488023,487976,THA,TH,764,THB,35,,"Yasothon Province",,,THA.77_1
0042529a,2020-02-18,0,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,Thailand,Yasothon,,15.8180151,104.275452488023,487976,THA,TH,764,THB,35,,"Yasothon Province",,,THA.77_1
0042529a,2020-02-19,0,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,Thailand,Yasothon,,15.8180151,104.275452488023,487976,THA,TH,764,THB,35,,"Yasothon Province",,,THA.77_1
0042529a,2020-02-20,0,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,Thailand,Yasothon,,15.8180151,104.275452488023,487976,THA,TH,764,THB,35,,"Yasothon Province",,,THA.77_1
0042529a,2020-02-21,0,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,Thailand,Yasothon,,15.8180151,104.275452488023,487976,THA,TH,764,THB,35,,"Yasothon Province",,,THA.77_1
0042529a,2020-02-22,0,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,Thailand,Yasothon,,15.8180151,104.275452488023,487976,THA,TH,764,THB,35,,"Yasothon Province",,,THA.77_1
